Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Number of Channels","Resolution (Bits)","Sampling Rate (Per Second)","Data Interface","Voltage Supply Source","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcm1808","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3936/296%7E4040064-3%7EPW%7E14.jpg","296-26307-2-ND,296-26307-1-ND,296-26307-6-ND","PCM1808PWR","Texas Instruments","Texas Instruments","IC ADC/AUDIO 24BIT 96K 14TSSOP","7,292","1.74","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","24 b","96k","Serial","Analog and Digital","2.7V ~ 3.6V, 4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","14-TSSOP (0.173"", 4.40mm Width)","14-TSSOP","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-adc/ak5720vt/ak5720vt-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/RU-16.jpg","974-1069-2-ND,974-1069-1-ND,974-1069-6-ND","AK5720VT","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC ADC/AUDIO 24BIT 96K 16TSSOP","2,244","2.71","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","24 b","96k","I2S","Analog and Digital","2.7V ~ 5.5V","-40°C ~ 105°C","Surface Mount","16-TSSOP (0.173"", 4.40mm Width)","16-TSSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlv320dac3120","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5792/296%7E4223442%7ERHB%7E32_.jpg","296-25489-2-ND,296-25489-1-ND,296-25489-6-ND","TLV320DAC3120IRHBR","Texas Instruments","Texas Instruments","IC DAC 24BIT 192K 32VQFN","7,893","3.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC","2","24 b","192k","I2C, Serial","Analog and Digital","1.8V, 3.3V","-40°C ~ 85°C","Surface Mount","32-VFQFN Exposed Pad","32-VQFN (5x5)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fldc1612","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2967/Pkg%20SDF12A.jpg","296-LDC1612DNTR-ND,296-LDC1612DNCT-ND,296-LDC1612DNDKR-ND","LDC1612DNTR","Texas Instruments","Texas Instruments","IC MULTI 28BIT TO DGTL 12WSON","21,225","3.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Inductance-to-Digital Converter","2","28 b","4.08k","I2C","Single Supply","2.7V ~ 3.6V","-40°C ~ 125°C","Surface Mount","12-WFDFN Exposed Pad","12-WSON (4x4)","Automotive","AEC-Q100"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD7147.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/22/505;CP-24-7;CP;24.jpg","505-AD7147ACPZ-500RL7TR-ND,505-AD7147ACPZ-500RL7CT-ND,505-AD7147ACPZ-500RL7DKR-ND","AD7147ACPZ-500RL7","Analog Devices Inc.","Analog Devices Inc.","IC CAP TO DGT 16BIT 250K 24LFCSP","4,661","4.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CapTouch™","Active","Capacitance-to-Digital Converter","13","16 b","250k","SPI","Single Supply","2.6V ~ 3.6V","-40°C ~ 85°C","Surface Mount","24-WFQFN Exposed Pad, CSP","24-LFCSP (4x4)","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-dac/ak4452vn/ak4452vn-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/373/33-WFQFN.jpg","974-1079-2-ND,974-1079-1-ND,974-1079-6-ND","AK4452VN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC DAC/AUDIO 32BIT 768K 32QFN","2,445","4.74","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC, Audio","2","32 b","768k","DSD, I2S","Analog and Digital","1.7V ~ 5.5V","-40°C ~ 105°C","Surface Mount","32-WFQFN Exposed Pad","32-QFN (5x5)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcm5102a","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/698/296%3B4040064-5%3BPW%3B20.jpg","296-36707-2-ND,296-36707-1-ND,296-36707-6-ND","PCM5102APWR","Texas Instruments","Texas Instruments","IC DAC 16/24/32BIT 384K 20TSSOP","2,120","5.18","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","DirectPath™","Active","DAC, Audio","2","16 b, 24 b, 32 b","384k","PCM","Analog and Digital","1.65V ~ 3.46V","-25°C ~ 85°C","Surface Mount","20-TSSOP (0.173"", 4.40mm Width)","20-TSSOP","-","-"
"https://www.akm.com/content/dam/documents/products/audio/audio-adc/ak5552vn/ak5552vn-en-datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/48-VQFN.jpg","974-1125-2-ND,974-1125-1-ND,974-1125-6-ND","AK5552VN","Asahi Kasei Microdevices/AKM","Asahi Kasei Microdevices/AKM","IC ADC/AUDIO 32BIT 768K 48QFN","1,886","5.81","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","ADC, Audio","2","32 b","768k","DSD, PCM","Analog and Digital","1.7V ~ 1.98V, 3V ~ 3.6V, 5V","-40°C ~ 105°C","Surface Mount","48-VFQFN Exposed Pad","48-QFN (7x7)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Famc1306m25","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/296%3B-4218796%3B-DWV%3B-8.jpg","296-47738-2-ND,296-47738-1-ND,296-47738-6-ND","AMC1306M25DWVR","Texas Instruments","Texas Instruments","IC ISOLATED MOD 16BIT 78K 8SOIC","3,697","6.22","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Isolated Module","1","16 b","78k","CMOS, Serial","Analog and Digital","2.7V ~ 5.5V","-40°C ~ 125°C","Surface Mount","8-SOIC (0.295"", 7.50mm Width)","8-SOIC","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Famc1336","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/333/296;-4218796;-DWV;-8.jpg","296-AMC1336DWVRTR-ND,296-AMC1336DWVRCT-ND,296-AMC1336DWVRDKR-ND","AMC1336DWVR","Texas Instruments","Texas Instruments","IC SIGMA-DELT MOD 16BT 82K 8SOIC","1,873","6.25","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Sigma-Delta Modulator","1","16 b","82k","Serial","Analog and Digital","3V ~ 5.5V, 2.7V ~ 5.5V","-40°C ~ 125°C (TA)","Surface Mount","8-SOIC (0.295"", 7.50mm Width)","8-SOIC","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdac161s997","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2911/Pkg%20SQA16A.jpg","296-40022-2-ND,296-40022-1-ND,296-40022-6-ND","DAC161S997RGHR","Texas Instruments","Texas Instruments","IC DAC 16BIT 16WQFN","4,779","6.42","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC","1","16 b","-","SPI","Analog and Digital","2.7V ~ 3.6V","-40°C ~ 105°C","Surface Mount","16-WFQFN Exposed Pad","16-WQFN (4x4)","-","-"
"https://www.sciosense.com/wp-content/uploads/2023/12/PCAP04-Datasheet.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5056/MFG_PCAP04-xQFM-24.jpg","2618-PCAP04-AQFM-24TR-ND,2618-PCAP04-AQFM-24CT-ND,2618-PCAP04-AQFM-24DKR-ND","PCAP04-AQFM-24","ScioSense","ScioSense","PCAP04-AQFM-24 QFN24 LF T&RDP","741","6.47","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PICOCAP®","Active","Capacitance-to-Digital Converter","6","20 b","-","I2C, SPI","Single Supply","2.1V ~ 3.6V","-40°C ~ 125°C","Surface Mount","24-VFQFN Exposed Pad","24-QFN (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcm1795","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2330/296%3B4040065%3BDB%3B28.jpg","296-24518-2-ND,296-24518-1-ND,296-24518-6-ND","PCM1795DBR","Texas Instruments","Texas Instruments","IC DAC/AUDIO 32BIT 200K 28SSOP","3,119","6.75","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","DAC, Audio","2","32 b","200k","DSD, PCM","Analog and Digital","3V ~ 3.6V, 5V","-25°C ~ 85°C","Surface Mount","28-SSOP (0.209"", 5.30mm Width)","28-SSOP","-","-"
"https://docs.broadcom.com/docs/AV02-2581EN","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/412/516%3B8-SO-Stretched-6.8%3B%3B8.jpg","516-4113-2-ND,516-4113-1-ND,516-4113-6-ND","ACPL-C797-500E","Broadcom Limited","Broadcom Limited","IC ISOLATED MODUL 16BIT 10M 8SSO","2,905","6.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Isolated Module","1","16 b","10M","-","Single Supply","3.3V ~ 5.5V","-40°C ~ 105°C","Surface Mount","8-SOIC (0.268"", 6.81mm Width)","8-SO Stretched","-","-"
"https://docs.broadcom.com/docs/AV02-0409EN","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/336_8-SMD.jpg","516-4226-2-ND,516-4226-1-ND,516-4226-6-ND","HCPL-7860-500E","Broadcom Limited","Broadcom Limited","IC ISOLATED MODULE 12BIT 8SMD","2,998","7.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Isolated Module","4","12 b","-","-","Single Supply","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","8-SMD, Gull Wing","8-SMD","-","-"
"https://docs.broadcom.com/docs/AV02-0409EN","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/516_16-SOIC.jpg","516-4064-2-ND,516-4064-1-ND,516-4064-6-ND","HCPL-786J-500E","Broadcom Limited","Broadcom Limited","IC ISOLATED MODULE 12BIT 16SO","988","7.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Isolated Module","4","12 b","-","-","Single Supply","4.5V ~ 5.5V","-40°C ~ 85°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SO","-","-"
