Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Number of Bits","Number of Channels","Power (Watts)","Voltage - Supply, Analog","Voltage - Supply, Digital","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification"
"https://ww1.microchip.com/downloads/en/DeviceDoc/21428e.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/371/RW-16.jpg","TC500ACOE713TR-ND,TC500ACOE713CT-ND,TC500ACOE713DKR-ND","TC500ACOE713","Microchip Technology","Microchip Technology","IC AFE 1 CHAN 17BIT 16SOIC","1,486","5.4","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","17","1","10 mW","±5V","±5V","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD73311.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4900/505~RS-20~RS~20.JPG","505-AD73311ARSZ-REELTR-ND,505-AD73311ARSZ-REELCT-ND,505-AD73311ARSZ-REELDKR-ND","AD73311ARSZ-REEL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 1 CHAN 16BIT 20SSOP","10,500","8.82548","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","1","50 mW","2.7V ~ 5.25V","2.7V ~ 5.25V","Surface Mount","20-SSOP (0.209"", 5.30mm Width)","20-SSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads131a04","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/414/32-PBS.jpg","296-44202-2-ND,296-44202-1-ND,296-44202-6-ND","ADS131A04IPBSR","Texas Instruments","Texas Instruments","IC AFE 4 CHAN 24BIT 32TQFP","1,665","9.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24","4","-","3V ~ 5.5V","1.65V ~ 3.6V","Surface Mount","32-TQFP","32-TQFP (5x5)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5940-5941.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/306/505;-CB-56-3;-CB;-56.jpg","505-AD5940BCBZ-RLTR-ND,505-AD5940BCBZ-RLCT-ND,505-AD5940BCBZ-RLDKR-ND","AD5940BCBZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 1 CHAN 16BIT 56WLCSP","462","11.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","1","-","2.8V ~ 3.6V","2.8V ~ 3.6V","Surface Mount","56-UFBGA, WLCSP","56-WLCSP (3.56x4.16)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD5940-5941.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/451/Analog-48-LFCSP-Exposed-Pad.jpg","505-AD5941BCPZ-RL7TR-ND,505-AD5941BCPZ-RL7CT-ND,505-AD5941BCPZ-RL7DKR-ND","AD5941BCPZ-RL7","Analog Devices Inc.","Analog Devices Inc.","BIO-IMPEDANCE & ELECTROCHEMICAL","1,797","11.45","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16","1","-","2.8V ~ 3.6V","2.8V ~ 3.6V","-","-","-","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1291","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/414/32-PBS.jpg","296-30389-2-ND,296-30389-1-ND,296-30389-6-ND","ADS1292RIPBSR","Texas Instruments","Texas Instruments","IC AFE 2 CHAN 24BIT 32TQFP","1,966","11.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24","2","740 µW","2.7V ~ 5.25V","1.7V ~ 3.6V","Surface Mount","32-TQFP","32-TQFP (5x5)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1292r","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/769/296;-4223442;-RHB;-32.jpg","296-35020-2-ND,296-35020-1-ND,296-35020-6-ND","ADS1292RIRSMT","Texas Instruments","Texas Instruments","IC AFE 2 CHAN 24BIT 32VQFN","127","12.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24","2","740 µW","2.7V ~ 5.25V","1.7V ~ 3.6V","Surface Mount","32-VFQFN Exposed Pad","32-VQFN (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads131e04","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/376/64-TQFP.jpg","296-34883-2-ND,296-34883-1-ND,296-34883-6-ND","ADS131E08IPAGR","Texas Instruments","Texas Instruments","IC AFE 8 CHAN 16/24BIT 64TQFP","2,122","13.96","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","16, 24","8","17.6 mW","2.7V ~ 5.25V","1.8V ~ 3.6V","Surface Mount","64-TQFP","64-TQFP (10x10)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp90097","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5791/296%7E4073225-6%7EPWP%7E28.jpg","LMP90100MHE/NOPBTR-ND,LMP90100MHE/NOPBCT-ND,LMP90100MHE/NOPBDKR-ND","LMP90100MHE/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 24BIT 28HTSSOP","1,062","14.17","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24","1","-","2.85V ~ 5.5V","2.7V ~ 5.5V","Surface Mount","28-PowerTSSOP (0.173"", 4.40mm Width)","28-HTSSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1293","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4896/296_28-WQFN_primary.jpg","296-35511-2-ND,296-35511-1-ND,296-35511-6-ND","ADS1293CISQE/NOPB","Texas Instruments","Texas Instruments","IC AFE 3 CHAN 24BIT 28WQFN","2,563","16.02","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","24","3","-","2.7V ~ 5.5V","1.65V ~ 3.6V","Surface Mount","28-WFQFN Exposed Pad","28-WQFN (5x5)","-","-"
